{'CALIB_RAW_DAC_START_I': 786432, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-2E9FE,-2EA64,-2E9A4
-4638F,-462AC,-4641D
-2EA3D,-2EAA3,-2EA82
-4646B,-46272,-465D2
-2E94D,-2E7B8,-2E931
-463B7,-46226,-463DD
-2E91D,-2E8F5,-2EA6B
-4642C,-465B7,-46385
-2F44F,-2F578,-2F714
-45D4E,-45FAF,-45EEA
-2E548,-2E6B0,-2E33A
-45EF1,-45F9F,-45FC1
-2E559,-2E60F,-2E529
-45F6C,-45D11,-45D6C
-2E51A,-2E426,-2E475
-45CFB,-45DB5,-45CEF
-2E4A2,-2E326,-2E48F
-45D7F,-45DE3,-45F35
-2E2DD,-2E373,-2E55A
-45E41,-45EB3,-45EC6
-2E3FC,-2E522,-2E2F1
-45CC3,-45BBB,-45E85
-2E267,-2E3BB,-2E38A
-45EAB,-45E8B,-45FBB
-2E368,-2E439,-2E526
-4615F,-45E5B,-45F44
-2E402,-2E2D4,-2E554
-45F4E,-45D5A,-45E4A
-2E31B,-2E52C,-2E380
-45DB7,-45EA4,-45F68
-2E455,-2E290,-2E434
-45E6B,-45C9C,-45E57
-2E341,-2E2D8,-2E33C
-45CB7,-45D78,-45E14
-2E428,-2E3E9,-2E2A3
-45D6B,-45AE2,-45F7C
-2E41B,-2E399,-2E2B2
-45DC6,-45FAF,-45CCF
-2E2D8,-2E2AF,-2E5E2
-45EB8,-45E99,-45FA2
-2E41A,-2E27E,-2E224
-45E16,-45DA0,-45E3F
-2E232,-2E3E3,-2E3B8
-45DAA,-45EA6,-45D18
-2E4FD,-2E476,-2E3F4
-45CCB,-45D81,-45D7B
-2E4CB,-2E166,-2E477
-45D49,-45C6F,-45C1C
-2E311,-2E0C8,-2E315
-45CF0,-45E86,-45F8F
-2E439,-2E264,-2E2A2
-45E66,-45C8D,-45D7B
-2E34E,-2E1F5,-2E301
-45B23,-45C8B,-45EB7
-2E227,-2E328,-2E14A
-45E3C,-45D6C,-45D8F
-2E079,-2E254,-2E17E
-45E7F,-45D94,-45C7C
-2E252,-2E207,-2E35F
-45F40,-45D89,-45B61
-2E108,-2E222,-2E2C2
-45D22,-45CB6,-45DEA
-2E4A1,-2E286,-2E2B5
-45C43,-45E21,-45DB5
-2E130,-2E24D,-2E0CF
-45B70,-45D93,-45B65
-2E3FA,-2E447,-2E30D
-45D57,-45DC8,-45E39
-2E242,-2E192,-2E324
-45BE7,-45D2E,-45D2A
-2E29D,-2E378,-2E1E1
-45C46,-45B64,-45C6F
