{'CALIB_RAW_DAC_START_I': 0, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
13EB18,13EB1C,13EC08
15654B,156596,156525
13E979,13EAEF,13ED17
15639B,15642B,1564B7
13EB32,13EA4C,13E83D
1565A0,1564DB,1565DF
13EB72,13EA41,13EA06
156640,156410,1565F9
13EAF9,13E941,13EB29
156462,1564E6,15670D
13ECB2,13EA58,13EADA
156558,15668C,1565D5
13EB54,13ECF2,13EA76
156810,156823,15654B
13EBD7,13EC13,13EB52
15660F,156496,15656C
13EBF3,13EA01,13EBBF
15673C,1565BA,156257
13EB8C,13EBA3,13EB98
1564A7,156704,1565DD
13ECE4,13EC20,13EE09
15661A,156562,156654
13ED1C,13E95C,13EA70
15660E,156515,156522
13EAA6,13EA68,13EBB8
156899,156821,156772
13EBA8,13E9F7,13E9DC
1564FF,156517,15671A
13EB3D,13EB66,13EDC8
1566F0,156480,156580
13EA26,13EBE8,13EB59
1565B0,15666F,156796
13EB35,13EC51,13EAC8
156534,1567C7,15669B
13EA9E,13EC2B,13EDBC
156513,15688B,156690
13EBE4,13EB21,13EB2B
156709,156693,1566D3
13EAB7,13EB21,13ED72
1567D3,15659C,156779
13EC0A,13EE09,13ECA7
1566A4,15666F,15680F
13EEAD,13ED3E,13ECCD
1565E9,1565E0,156744
13EC37,13EC6E,13EAE2
156710,156610,15671C
13ECD9,13ED59,13EC83
1565C8,15655C,15668D
13EC2C,13ED13,13ECFB
156608,1564B7,1567CF
13ED35,13EBAD,13EB87
1566FE,15660D,156607
13EEA7,13EC8D,13EBC0
15662C,156791,15665E
13ECC6,13EBB2,13EC89
1565DD,156744,156601
13EC78,13EC90,13EB54
15682D,1569BA,156893
13EDA2,13ECDA,13EEBC
1567EC,15670D,156818
13ED27,13ED5E,13EEF7
15680D,156765,15680E
13EC36,13EAB9,13ECCA
156679,1565A5,156772
13ECE4,13ECA0,13EB71
156726,15679A,156662
13EC27,13ECAE,13ECCF
1567C7,156612,15670F
13EBBD,13EC6D,13EACB
156755,156730,156749
13ECF4,13EB86,13ECF3
156700,15673F,1567EC
13ED54,13EDF5,13ED12
15668A,1568CC,15690B
13EC1B,13EDCA,13EE67
156849,156635,156733
13EB00,13EC6C,13ED5A
156653,1568DF,1567E9
13EEC1,13EC2A,13ED58
15681F,15679B,15695B
13ECB3,13EF1B,13EBDB
1567AE,1569DA,15674E
13ECE5,13EE5A,13EE88
156706,156761,1567B0
13EF43,13EC79,13EF29
1566E4,156832,156788
13EC3A,13EDAE,13EE5D
1567EF,156AC2,156913
13ED49,13EC51,13EEA4
15696B,156ABE,1568B7
13ED86,13EE42,13EE9B
1567D0,156910,1568AD
13ED76,13ED4B,13EE93
156928,156859,1566EA
13ED13,13EE32,13EF37
156879,1568B5,1569C7
13ECAD,13F005,13EE62
1567D7,156A4D,1567C5
13EDE5,13ECDC,13EE55
156854,1569DB,1568D8
13EFEA,13EDFB,13ED7F
1569A9,156889,1568CC
13EE56,13F058,13EE12
156893,156A40,156B11
13EF33,13EE35,13ED1A
155E7C,155D6F,156024
13F542,13F462,13F45C
156D2D,156F19,156D23
13F532,13F49A,13F6F2
156FF6,156E87,156F6A
13F4C7,13F32C,13F4F8
156F40,156CA4,156EC8
13F52E,13F505,13F2F5
157088,156E13,156F4F
13F40A,13F5E0,13F689
157053,156E07,157064
13F424,13F59D,13F6C0
156E98,156E65,156DCB
